Minisector,HAM,MAG,Fastest
0,287.7378309733333,300.6930182269388,MAG
1,291.76893220845074,311.39634779076925,MAG
2,163.9699065948498,157.2254763052101,HAM
3,216.64354746219868,214.11558926524413,HAM
4,270.4048191518954,280.41659633333336,MAG
5,290.9133166243137,307.11055643697483,MAG
6,292.8198763100245,319.2457144990476,MAG
7,172.26217421553923,162.58732593982592,HAM
8,120.40707045272848,119.73342521916713,HAM
9,248.56075829714285,248.12629363809523,HAM
10,285.23406442728117,296.44289700050876,MAG
11,296.4831353269841,310.4141965924233,MAG
12,142.07961519817042,139.01468788448074,HAM
13,192.57885455364624,187.25865845343915,HAM
14,254.94999931070706,253.19485376533333,HAM
15,198.71174451540267,191.3002875111619,HAM
16,212.14354741834674,200.25639681720057,HAM
17,207.27619744075125,199.9753065976889,HAM
18,242.458010754709,231.41389808761903,HAM
19,276.8925436398413,271.90506866143494,HAM
20,293.99277014369255,293.45793090979896,HAM
21,256.44851380345676,256.7442911673651,MAG
22,212.27379328046175,210.55658849231276,HAM
23,202.45003186539682,195.9214056232386,HAM
24,262.57792400732023,264.02754519864226,MAG
25,279.93749760000003,287.06999808,MAG
