Minisector,GAS,BOT,Fastest
0,293.8297287900629,291.12604137777777,GAS
1,302.70198415238093,300.57865592961303,GAS
2,275.66303492931155,274.011501824,GAS
3,108.69913004236928,116.18484435745947,BOT
4,227.41225355665026,231.94211540583112,BOT
5,275.1014794169445,272.48439944126983,GAS
6,203.98502026066504,211.94413257979937,BOT
7,166.23482967308166,176.0930907508772,BOT
8,208.65077296344086,213.2806977486748,BOT
9,222.412891185889,228.92241109333332,BOT
10,114.83973291245647,119.81026040976958,BOT
11,228.14087337142857,228.8928715978533,BOT
12,117.8817019169116,119.9001028845055,BOT
13,229.74418265640494,228.38491255172414,GAS
14,275.407986,271.48764719857553,GAS
15,217.74834865039082,218.92122390755554,BOT
16,197.86078365490198,203.0495172468593,BOT
17,250.06645819529643,252.02438253827162,BOT
18,198.88292213830053,200.1743697131313,BOT
19,185.59570325977393,191.6624997037037,BOT
20,266.6035423192479,264.3985859111111,GAS
21,290.1685398091271,283.9967012888889,GAS
22,162.77292574623885,164.00010016924838,BOT
23,215.65119011490017,222.19611310241433,BOT
24,274.9242453933763,274.27123794285717,GAS
25,287.1,284.7624992,GAS
