Minisector,NOR,PER,Fastest
0,317.992055379317,307.9995019788101,NOR
1,145.19702057916,145.44106446509926,PER
2,220.02452509707592,212.32884492913038,NOR
3,277.2687675911111,271.8636362938932,NOR
4,312.99635319338574,310.96120046553483,NOR
5,322.08684035932646,318.3794371733333,NOR
6,155.45122498263842,151.76315168793604,NOR
7,248.87954895817322,240.1398821684261,NOR
8,121.1468650096332,115.05019628964678,NOR
9,147.24194773690155,149.58266229473674,PER
10,269.7728290332069,270.2651363280591,PER
11,296.08175321125543,298.7292534469264,PER
12,263.89632371866423,245.55706291247165,NOR
13,164.91903873261302,153.0336430885565,NOR
14,275.22663232007585,270.51423924679676,NOR
15,308.04799105683117,305.910604389234,NOR
16,323.3516452774175,322.69964308705886,NOR
17,330.8657168954037,330.5597188146609,NOR
18,334.70826187839873,332.1997941532027,NOR
19,338.5611542327122,328.71383662666665,NOR
20,229.00777001714113,201.35350568086687,NOR
21,152.9600900748088,165.97948524482268,PER
22,275.19917258906617,276.4376729440191,PER
23,310.308728812977,309.44185565513783,NOR
24,320.5012584676364,323.8186756178537,PER
25,320.96785645714283,,NOR
