Minisector,LIN,GAS,Fastest
0,286.6610577086734,277.04848555499933,LIN
1,298.07635535792207,295.8718576635638,LIN
2,277.7716888306138,276.19967778411575,LIN
3,172.81781342265634,164.1357018444629,LIN
4,116.63849517535972,111.87574530249158,LIN
5,238.41141148169817,236.38734781084065,LIN
6,283.772851499798,288.08672611301824,GAS
7,289.3484050898815,292.20975668420385,GAS
8,172.63647066905327,168.05532130085226,LIN
9,134.76971855073762,131.2995706491505,LIN
10,253.75374130289134,244.584767323623,LIN
11,289.62717368311684,293.57373564561544,GAS
12,291.1392145522578,298.01043976093246,GAS
13,263.74891250356825,262.18454520108094,LIN
14,280.1648645524595,284.61885648761904,GAS
15,271.0615443288844,281.4277041345017,GAS
16,233.08077508403701,241.08564208536052,GAS
17,217.9160131188148,209.62442664527111,LIN
18,280.94553310644886,275.73155775219635,LIN
19,301.3505567966138,299.65374149175733,LIN
20,303.36759061682125,300.95826301848734,LIN
21,218.5438341634675,214.65772573600438,LIN
22,242.76001797411823,234.14602056491356,LIN
23,135.50842793051424,135.17320219604792,LIN
24,213.85661400372294,199.0994277083906,LIN
