Minisector,LEC,HAM,Fastest
0,290.8522325269534,291.1604403978562,HAM
1,300.37832514285714,299.79317665408206,LEC
2,163.82454968766447,162.6778954106298,LEC
3,221.32905509153878,220.25050305114317,LEC
4,272.4446852262584,272.7688654577778,HAM
5,294.1344823877503,294.12125830502106,LEC
6,301.51270835555556,301.2954265269841,LEC
7,168.50326906342528,183.78797360757932,HAM
8,130.81631992431176,127.25960692262397,LEC
9,248.54403883477076,247.22499412419046,LEC
10,283.66854165555554,285.3467165008947,HAM
11,298.06920277252635,295.91506735714285,LEC
12,143.12466871989903,142.51260983682636,LEC
13,187.56011386827026,190.47953013017377,HAM
14,256.75696915704276,259.350143547775,HAM
15,194.8395743632579,210.94675005009987,HAM
16,216.66064854319487,212.47738095565285,LEC
17,213.40675453144374,213.08199264927538,LEC
18,242.02560158452005,241.51621569447252,LEC
19,277.23441327667535,275.8590227428572,LEC
20,294.8472672131602,293.64513230560846,LEC
21,264.73526640513364,256.0333068030476,LEC
22,217.14926503314004,218.53103473593075,HAM
23,199.4238432859979,201.21795411507355,HAM
24,262.93295427094466,263.8937151996079,HAM
25,280.30000071111107,281.75000064,HAM
