Minisector,VET,PER,Fastest
0,257.9276683515969,257.607860972715,VET
1,209.16843031146612,203.39409099066654,VET
2,224.6537047440734,217.84086896457652,VET
3,264.25234673017945,260.2921781719747,VET
4,274.05459357886053,271.41911138475893,VET
5,224.2869444523298,212.4578359191473,VET
6,96.14883534292294,91.06537692173279,VET
7,192.07514562716068,194.33364385254237,PER
8,283.2963365283513,282.3112782791717,VET
9,309.20256779327053,310.94451362154405,PER
10,318.8476818568483,323.11944224878016,PER
11,318.4551471619265,309.85379694837513,VET
12,106.44930951639718,103.71326912356271,VET
13,218.48098449509038,221.25306108393798,PER
14,280.6267052812078,282.22774262129514,PER
15,300.58665099871973,302.8729676098316,PER
16,242.75593653870965,201.26300681412766,VET
17,125.09496739771026,123.29389617416051,VET
18,152.74876403143608,157.02184709654736,PER
19,257.12623357698163,262.79989260112166,PER
20,155.82148814895788,144.34986383529738,VET
21,128.47579147079378,126.23793630755786,VET
22,207.3349270904174,209.80891357321747,PER
23,209.62152599788712,191.33960242141995,VET
24,169.94519340639656,163.709340085942,VET
25,232.69583146666668,,VET
