Minisector,GAS,RUS,Fastest
0,278.081697298707,275.7096921859364,GAS
1,292.41363566198123,298.06579888126987,RUS
2,285.0801214403447,300.5280451753383,RUS
3,164.44510261308497,186.6509122446011,RUS
4,119.51783438482846,115.04919989263931,GAS
5,238.12655779138098,236.68248022957582,GAS
6,284.63980321923725,281.3879045984107,GAS
7,290.6129188426025,299.4745823893333,RUS
8,171.4402907851531,174.75886725916519,RUS
9,138.88010701021588,137.27188045651215,GAS
10,249.9037088223176,250.56063661741535,RUS
11,287.948828614282,289.11308228675324,RUS
12,301.63726729162005,301.5211460208428,GAS
13,279.93695119703705,282.54046347570244,RUS
14,304.120007130886,305.6457487176289,RUS
15,303.4093577108822,314.12309270690906,RUS
16,246.02602280777145,242.43557544220562,GAS
17,221.29766491411644,221.94914606712643,RUS
18,287.0431097450607,277.623495310358,GAS
19,318.97985252152876,305.46878867265303,GAS
20,323.5577657687075,315.1807045269173,GAS
21,217.6036094737415,230.05814493753604,RUS
22,257.2588219897436,259.73192513493024,RUS
23,137.83458937898465,132.0838188703215,GAS
24,214.28133591380953,206.20315720005536,GAS
25,,254.16500096,RUS
