Minisector,VER,RUS,Fastest
0,276.1631768911977,280.805429782374,RUS
1,293.9612135670991,299.0416349046349,RUS
2,231.59789792420912,224.26101247633557,VER
3,114.48743845626315,108.35117215713412,VER
4,130.37340284342164,126.18606158433312,VER
5,245.0577537142457,247.2548360650794,RUS
6,253.75824914133332,250.7688990072458,VER
7,123.80514301516864,118.88179482341407,VER
8,242.60808683521736,244.2614181818182,RUS
9,257.11014918521556,257.68083678644615,RUS
10,211.0238971519951,198.57375903448275,VER
11,141.1290589872239,138.36849608750862,VER
12,199.98099467494646,201.0094099711399,RUS
13,258.4628580717745,258.4852241887446,RUS
14,113.0643510298298,105.41703208654235,VER
15,187.4494057496255,182.0220322331318,VER
16,253.15852848179787,254.03857626983634,RUS
17,285.22230755086514,289.4677573291402,RUS
18,298.78996305160507,307.3357936126984,RUS
19,304.93717535584415,322.5618038640767,RUS
20,307.40503475555556,330.0465595372176,RUS
21,176.80228691196726,136.1521748435256,VER
22,138.0516396517361,150.26647151828178,RUS
23,196.07928824482815,180.82108431140597,VER
24,230.0735899697163,239.61080756,RUS
25,262.0250016,,VER
