Minisector,COL,GAS,Fastest
0,283.39074055962476,277.04848555499933,COL
1,297.5659316085691,295.8718576635638,COL
2,275.8440488268607,276.19967778411575,GAS
3,169.42309442439927,162.6073092983513,COL
4,114.54493986958038,112.04011095624143,COL
5,240.3860584728492,236.38734781084065,COL
6,287.0991448658594,288.08672611301824,GAS
7,291.52450371717174,289.6091827616036,COL
8,170.62275855967835,165.12761858373514,COL
9,133.4110902960493,131.10479323478964,COL
10,249.67761466673943,244.584767323623,COL
11,291.90063552188553,293.57373564561544,GAS
12,293.1348501828571,297.4099177728858,GAS
13,263.7357936774603,261.6390906556264,COL
14,282.0945154524846,285.2168637224016,GAS
15,278.2251659728716,280.43887838904715,GAS
16,235.5511117382956,236.6126429442167,GAS
17,212.50551259619448,212.57934370126878,GAS
18,271.56374767255215,278.5255660586226,GAS
19,295.3124350212987,300.09283206865535,GAS
20,297.3815478247619,299.3700265531279,GAS
21,214.52663953442686,212.9764214611367,COL
22,231.7445751346642,237.2523470853387,GAS
23,129.9141436090459,130.79406773139408,GAS
24,205.61774509281045,205.22051793873757,COL
