Minisector,VER,RUS,Fastest
0,305.2850835274831,310.5209711643592,RUS
1,224.7716724573776,246.57503877723613,RUS
2,135.28797555758075,120.74970313345247,VER
3,232.73637017459401,237.77615599223765,RUS
4,194.58525040166586,194.45418042073234,VER
5,247.84025404043638,244.24761051606677,VER
6,231.36118123757208,226.2584520851206,VER
7,260.78638605401835,256.84367866455716,VER
8,293.0855671749573,295.3197748104211,RUS
9,197.96337920513375,207.63057231995657,RUS
10,206.41163576609904,202.6672989116336,VER
11,276.53685206098254,277.1118251528738,RUS
12,216.86214083404522,215.86577482682466,VER
13,253.67854887567864,252.16306180243035,VER
14,293.82432699791514,298.32011044081406,RUS
15,308.732875008,314.390422924058,RUS
16,315.09602771630176,319.92089661000756,RUS
17,214.76328118371052,203.85639048931552,VER
18,266.42011239203833,255.51347527011524,VER
19,297.92242213040294,299.25206355091467,RUS
20,306.46258781192984,315.91182169197316,RUS
21,309.06454545454545,319.5616786225371,RUS
22,152.74047186964836,151.70974689657584,VER
23,232.98391055915218,225.35312743285644,VER
24,285.51589535887126,289.15813062833,RUS
25,292.77000000000004,302.0572224,RUS
