Minisector,SAI,PER,Fastest
0,247.03045579130435,244.31323568953712,SAI
1,283.1650904032455,277.366944167718,SAI
2,172.10626305158405,180.2238389281439,PER
3,153.96977037577054,148.79709163705834,SAI
4,256.84786439903235,254.62159997384754,SAI
5,270.52029810457225,265.7395781735727,SAI
6,223.49621379124798,225.6239092530939,PER
7,202.93445550239738,204.54279634708416,PER
8,159.13808635501184,154.6973573579214,SAI
9,209.79457359113678,211.34202368580287,PER
10,273.4009427161482,268.47950147053604,SAI
11,124.26814229814171,120.20099835507526,SAI
12,202.5067891722046,206.35126321582035,PER
13,270.18307157281265,269.28320175438597,SAI
14,292.20416914189894,290.54374509223663,SAI
15,302.2983332495238,298.6769220779221,SAI
16,231.7553519704435,236.68901550683097,PER
17,132.60924538936757,134.18440226210797,PER
18,129.4282168555215,133.53158593629354,PER
19,116.6575243021261,120.72923534987616,PER
20,226.81036905523587,223.7183676804127,SAI
21,260.7100314362323,255.63525462962966,SAI
22,231.0529798163811,236.30858131213157,PER
23,215.12024245486703,209.18773867571605,SAI
24,136.94935101261,139.84716572575346,PER
25,214.0,,SAI
