Minisector,ALB,GAS,Fastest
0,257.70713721405593,248.56778378112458,ALB
1,127.10383860536028,128.74246487195768,GAS
2,195.88596331851852,202.48262173454856,GAS
3,245.13293846521316,248.81820826557825,GAS
4,252.69059776703295,251.3686219102041,ALB
5,164.3458422465617,173.48326737505045,GAS
6,141.9038420224059,149.03325886445586,GAS
7,183.01389373561906,189.4097802123667,GAS
8,101.89784180812876,104.44029191582379,GAS
9,69.97137828236683,73.9610373775349,GAS
10,96.7165880107674,99.19206205973431,GAS
11,182.2205988786032,190.8997697945098,GAS
12,243.594098304,246.1331042624442,GAS
13,265.70733103436504,269.59246669668676,GAS
14,278.240339660606,270.2062819265306,ALB
15,109.67726841889991,113.25219304858891,GAS
16,150.02588252850794,150.29716926046555,GAS
17,174.235833231772,184.17184860995297,GAS
18,185.66362061699988,199.5235335716059,GAS
19,206.56757779649124,208.4679447174603,GAS
20,136.2894604443017,133.9327159327312,ALB
21,100.31578757379313,105.63689757943611,GAS
22,99.92480976238616,93.8480764634079,ALB
23,200.59767577890796,200.01413531863255,ALB
24,250.8891743138308,249.8162593683942,ALB
25,260.9749994666667,265.12,GAS
