Minisector,SAI,HAM,Fastest
0,279.72748651779284,281.21194968426755,HAM
1,241.6112927780246,237.0558426376534,SAI
2,274.1283419143341,264.00688666929295,SAI
3,290.96949863851086,283.1936427216981,SAI
4,121.34469263622398,132.6794031506287,HAM
5,210.7313845650746,206.072412234996,SAI
6,271.75096547293776,264.8644842920635,SAI
7,305.0759879319455,288.7008935212031,SAI
8,321.3624998857143,299.7448007219108,SAI
9,328.4314262975549,304.6748660182217,SAI
10,290.6056563620944,291.06519731154924,HAM
11,96.57046441637486,102.25611238587771,HAM
12,224.60216687299535,214.85391158512158,SAI
13,274.7416780281188,268.0160031254484,SAI
14,269.5516132467224,277.7172723529463,HAM
15,126.07601463940436,137.56332887175498,HAM
16,198.75138930301853,200.16357944887156,HAM
17,256.8552332280744,253.75392588421255,SAI
18,256.3640354807018,258.48633428365355,HAM
19,248.3602080981344,240.16510693929712,SAI
20,147.10184026200247,160.43874117616784,HAM
21,190.72960609362508,185.19661153390217,SAI
22,165.76162504697822,169.1336500860083,HAM
23,189.22469221709204,184.37472229062732,SAI
24,252.86363201540303,246.02271108860782,SAI
25,,272.5833344,HAM
