Minisector,LEC,TSU,Fastest
0,273.2762166013288,275.7223897229659,TSU
1,294.2146215539859,295.268333312,TSU
2,292.4602431111111,291.81243750621115,LEC
3,185.37425994016036,180.50117688761904,LEC
4,117.8400643793884,118.49624290303089,TSU
5,234.72300783184468,235.3033756078241,TSU
6,281.3054283152009,279.26242082257977,LEC
7,295.3149998506667,290.26162214579716,LEC
8,181.11241192977735,185.40796339846042,TSU
9,141.4756435942378,142.34891060430672,TSU
10,247.9164006568981,249.70928695698709,TSU
11,285.05200042666667,287.62386020388334,TSU
12,296.3489098122863,295.18482156190476,LEC
13,276.5852843548992,277.51388890864195,TSU
14,293.5773067936508,293.3192190118138,LEC
15,296.6009080448169,296.18452401980954,LEC
16,257.94798753103447,252.691819100363,LEC
17,221.17925484675587,222.18467736802012,TSU
18,275.5148154469136,273.60696636613756,LEC
19,296.6404115605887,294.91398227064667,LEC
20,303.2506665386667,294.9350647279012,LEC
21,234.70373993766756,232.93456076199635,LEC
22,261.31439179561346,253.4903980609936,LEC
23,137.66222867357038,140.00249766262746,TSU
24,208.54706481818283,209.08405863566503,TSU
25,254.3250048,257.0375008,TSU
