Minisector,RIC,BOT,Fastest
0,319.0270186136646,327.9732138320347,BOT
1,326.11136373333335,340.5954646058957,BOT
2,322.2665631072464,344.20439683780097,BOT
3,193.3140869175101,210.0826093121693,BOT
4,116.4502825633475,114.52714584323472,RIC
5,264.7125501590819,265.9486485235215,BOT
6,300.8456931097432,301.1152168811594,BOT
7,311.88876823188406,311.3081520231884,RIC
8,274.8883319933509,279.0475345382716,BOT
9,139.39541771573892,138.46282578823528,RIC
10,221.6054244235518,220.91381424945018,RIC
11,216.15252539879634,206.41670033389357,RIC
12,192.6915492778303,192.39127284649967,RIC
13,266.24856215123225,265.9578739809524,RIC
14,303.4730869238572,300.600074456661,RIC
15,311.7875517283644,311.5514491362319,RIC
16,259.08684452037437,281.13155535657876,BOT
17,205.3925887207934,193.07783042471044,RIC
18,271.39559370282694,265.86594445098746,RIC
19,305.9310039850932,305.3311588173913,RIC
20,318.8538823566912,316.41086942608695,RIC
21,307.9493064888889,313.9514504347826,BOT
22,206.86811400293732,206.18588659362285,RIC
23,262.9901779047619,260.51486545077097,RIC
24,300.03869608766496,304.31811506086956,BOT
25,293.1499968,319.20555448888894,BOT
