Minisector,HAD,TSU,Fastest
0,293.0680908933333,289.7060003337143,HAD
1,306.215882247873,300.1535234900585,HAD
2,310.9052314646913,306.5166665955556,HAD
3,305.37185102222224,309.6464223472278,TSU
4,189.74236932307397,191.2885866458413,TSU
5,222.21088890349208,217.5772486725544,HAD
6,270.853190769723,266.5046594448254,HAD
7,266.63492411027573,254.7996213708309,HAD
8,195.52034980253808,191.6088775471921,HAD
9,145.2148371460033,145.32778963593537,TSU
10,182.02510178780116,180.97050840067735,HAD
11,265.1005254308388,264.0389545597929,HAD
12,244.33242756508307,244.85393395824917,TSU
13,226.2501148889742,226.62594769416899,TSU
14,271.1038421118537,264.8090810845781,HAD
15,165.5439018174296,167.7228582193696,TSU
16,218.89481658254257,231.5887634727619,TSU
17,233.7707679506117,240.85168461056824,TSU
18,129.1914685984388,130.70297545812065,TSU
19,244.15738466444267,244.4447810996529,TSU
20,286.92440674136884,284.7784135923809,HAD
21,242.7320923083337,241.1513419522244,HAD
22,143.98336764035852,138.52724972364507,HAD
23,219.05050276289205,211.8088944794903,HAD
24,274.29631996434233,268.6996483857571,HAD
