Minisector,LEC,SAI,Fastest
0,275.69574742054283,274.3979332969428,LEC
1,291.71964281904764,289.08118280084653,LEC
2,283.16954050199837,284.6467446088596,SAI
3,183.69745831501723,174.37505451029972,LEC
4,132.3636095535924,133.33130566817292,SAI
5,244.54791234126318,246.3994159325705,SAI
6,284.25273608200115,282.0289229241796,LEC
7,291.5907730458722,281.1726200278177,LEC
8,180.11602958874624,177.08361664242446,LEC
9,148.48894267179483,147.0244597094782,LEC
10,256.5864360937956,254.41490427034645,LEC
11,286.96812789016434,284.73978229698247,LEC
12,295.84568996213517,287.46857272046174,LEC
13,284.9867607535482,275.55397025840045,LEC
14,296.59184386359755,291.6550270260398,LEC
15,293.65850116955295,299.0210307224268,SAI
16,262.10332280685594,261.4476767967019,LEC
17,230.24009678451367,241.94188048672518,SAI
18,281.7393229218385,283.85108330139377,SAI
19,300.5841406029279,300.5804449762771,LEC
20,299.9663647584296,304.56599765184905,SAI
21,231.0531324627275,228.5852171427898,LEC
22,262.3698128278824,259.9852058982055,LEC
23,139.39067606047038,137.50847582647413,LEC
24,220.31854382179182,227.0651085649908,SAI
