Minisector,SAI,HUL,Fastest
0,274.3979332969428,277.2879976612199,HUL
1,289.08118280084653,295.79495222383616,HUL
2,284.6467446088596,287.46277803495536,HUL
3,174.37505451029972,173.58018159245685,SAI
4,133.33130566817292,132.22859807612173,SAI
5,246.3994159325705,246.74445332076976,HUL
6,282.0289229241796,292.15694028013513,HUL
7,281.1726200278177,292.0070358683039,HUL
8,178.2555294988747,168.5032549971629,SAI
9,146.76962731313375,145.69684284524286,SAI
10,254.41490427034645,255.7642619986543,HUL
11,284.14357108717127,289.3744029592057,HUL
12,287.7756533534651,292.1941380420413,HUL
13,275.25442483219393,279.26084160479013,HUL
14,291.2363219367267,301.4414625995043,HUL
15,299.0210307224268,298.2342285673219,SAI
16,263.17466332989784,236.0220371581763,SAI
17,240.06143174826366,219.4256124060882,SAI
18,282.7097954468484,288.9402171689158,HUL
19,300.0366566418141,320.9951772874294,HUL
20,304.4236342289537,328.0528695315483,HUL
21,227.53983194349024,223.88629237779654,SAI
22,258.6554882923725,252.26643866012347,SAI
23,139.28833899486318,141.0386932251443,HUL
24,224.08782217038487,218.8994213501979,SAI
25,258.3640190489656,258.27893918084936,SAI
