Minisector,PER,NOR,Fastest
0,291.79608396642215,295.7256677401058,NOR
1,299.1812919744538,302.96899558136323,NOR
2,217.97603740661728,209.40422784945687,PER
3,140.47478535483629,132.76641060057977,PER
4,219.3241519052237,218.98689124363636,PER
5,161.76317054256694,166.8732161846406,NOR
6,169.2035304816357,168.60779965128205,PER
7,252.33748954138647,248.17548141188763,PER
8,277.53760565122445,277.833567398254,NOR
9,285.31812507123806,287.08136888380955,NOR
10,275.8085478577857,261.66216065885266,PER
11,243.56923076923078,240.8790772,PER
12,244.13633871390476,242.87189533778943,PER
13,215.3898460777022,210.69012722782608,PER
14,131.66743083455503,126.78980558389115,PER
15,143.1311554399428,145.42877684734648,NOR
16,170.97014448956133,163.87578961663172,PER
17,242.54541687810124,250.38632845968255,NOR
18,236.6835086677376,251.80919494603177,NOR
19,113.45713356374958,116.01339640191387,NOR
20,190.08799038308848,182.14504036044343,PER
21,198.98785884381826,203.4176090627087,NOR
22,231.81033807788452,230.0662861347939,PER
23,261.4402628778625,270.9875194917813,NOR
24,279.84358473724114,293.4412874651038,NOR
25,,305.11500032,NOR
