Minisector,RIC,RAI,Fastest
0,276.6589381608533,277.6864584789372,RAI
1,290.4575120954114,296.33082921862217,RAI
2,228.24690268441404,227.81662167812377,RIC
3,114.86177465198404,118.80436220597434,RAI
4,140.82828379322356,138.72381235513217,RIC
5,248.9738320537093,247.68755922881107,RIC
6,248.15834202299334,256.2889235520422,RAI
7,125.69202139370155,125.42959751354039,RIC
8,243.55618587117428,243.4083654057979,RIC
9,244.57684077681353,250.03490140507404,RAI
10,204.61732242206625,207.74567205527393,RAI
11,140.23224626769536,143.70852026036968,RAI
12,206.9124919815068,203.9519756208872,RIC
13,255.67251454409939,258.0995486033779,RAI
14,115.2375757742049,115.45891799439958,RAI
15,188.1039105614049,186.33143439329257,RIC
16,254.0328347434676,253.55095406913202,RIC
17,284.15461877976924,283.26694851200523,RIC
18,294.5944403290761,295.66031071730276,RAI
19,297.4196326457442,303.16866193541154,RAI
20,297.0866227087719,305.38730780172403,RAI
21,152.37497499944578,178.38005489715403,RAI
22,153.062882489913,143.85859736530847,RIC
23,193.5994520922736,192.8187288478144,RIC
24,232.82625909911022,226.91456988711386,RIC
25,263.0166656,261.0624992,RIC
