Minisector,NOR,TSU,Fastest
0,296.0713980080145,294.7299877512739,NOR
1,308.02173225169594,306.6285052667403,NOR
2,307.0063722745092,306.52482978500797,NOR
3,192.78188646875842,182.8513619963049,NOR
4,209.4452247165088,213.29179264804077,TSU
5,205.6538997483833,200.89765470071475,NOR
6,267.20343376950956,261.569631482353,NOR
7,253.3282616139231,249.13109119405706,NOR
8,217.62219607566624,206.50193988230106,NOR
9,205.4905370864649,203.2398286017911,NOR
10,143.0020658374785,145.73441009817205,TSU
11,201.31039235261,186.62011734159125,NOR
12,186.69949370666788,195.77898522948004,TSU
13,252.92421129701393,251.21309981763463,NOR
14,178.86926472415678,175.6450283653277,NOR
15,236.13111084990112,239.0306290587809,TSU
16,280.63725092566426,282.09499796680274,TSU
17,293.9648884742857,293.02111108972593,NOR
18,289.2693897363408,284.3273875705041,NOR
19,272.91590179646494,263.9485314480808,NOR
20,269.87058571914764,258.9402413321127,NOR
21,264.81167873061753,265.8795135308642,TSU
22,227.96962525950184,218.8041361393668,NOR
23,207.2581111817492,213.70493611235557,TSU
24,271.7165577156856,271.5020740941774,NOR
