Minisector,PIA,HAM,Fastest
0,289.808713094133,294.17166097828573,HAM
1,296.1338816327485,305.68451135839604,HAM
2,290.07780263818023,280.86212358978355,PIA
3,116.84701955807817,105.38264874769192,PIA
4,223.70772026008657,216.31331211691298,PIA
5,274.320761001864,275.0020731652762,HAM
6,212.0763075044898,213.29433986574713,HAM
7,161.81510386512207,151.90467541405556,PIA
8,207.21876556364936,208.51298408063656,HAM
9,216.88550014589313,217.018619817318,HAM
10,121.13784789768569,114.21827273500347,PIA
11,229.76969144495112,228.70689067648456,PIA
12,117.98875618291072,124.13815319430685,HAM
13,223.65769614160342,222.55853370974285,PIA
14,276.78290679674893,278.7358903452522,HAM
15,218.77189154428277,212.59249584929844,PIA
16,192.31032095000995,188.08593351731102,PIA
17,247.3642064378999,250.4576613260606,HAM
18,206.06931849687004,195.77658867543838,PIA
19,183.10139689452555,175.34571131942218,PIA
20,262.4616007873775,263.89350936770217,HAM
21,290.9003041288889,288.92524230966507,PIA
22,171.7573106120513,173.14144089095262,HAM
23,210.41902130514285,212.9359968926984,HAM
24,267.5040450107346,274.1266304806283,HAM
25,281.92857234285714,288.45416746666666,HAM
