Minisector,PIA,OCO,Fastest
0,272.47528071217397,270.7267830207035,PIA
1,296.3522386825397,304.29943250735926,OCO
2,309.4643837962161,322.1000784271429,OCO
3,318.9001666346667,334.8036582452572,OCO
4,323.6995715311746,344.8708332952381,OCO
5,327.1017658514285,345.7054761447619,OCO
6,214.09882807404915,226.01437467062695,OCO
7,104.10304246346958,99.4641707416041,PIA
8,183.22607886628572,177.5406441945388,PIA
9,257.34902167987286,253.03356523047617,PIA
10,288.44955030944993,290.8758266115014,OCO
11,155.91794821418236,162.01841667310347,OCO
12,95.85918466106848,93.03373416183784,PIA
13,112.03069423696478,110.52348518441939,PIA
14,213.9511634266991,209.81505673535355,PIA
15,182.89110347371772,182.7616857689182,PIA
16,220.0827479005789,224.46801527873015,OCO
17,169.60053806888183,165.6773314443034,PIA
18,239.17557481781864,228.79692843631747,PIA
19,278.14443797557425,273.2732522647769,PIA
20,241.14718565015875,241.00091707654323,PIA
21,137.67686063950984,144.35418773125485,OCO
22,93.44639270032302,93.25272506083581,PIA
23,116.43993681339339,117.23235461714287,OCO
24,220.36432276300212,215.38006829079364,PIA
25,254.27857005714284,250.5625,PIA
