Minisector,VER,HAR,Fastest
0,283.4477460723824,285.28506646293266,HAR
1,256.82925114173327,246.50382802118708,VER
2,271.02640222399566,268.74771774814815,VER
3,285.7578431372549,282.94511942019665,VER
4,139.67639419753544,125.39269691186894,VER
5,209.51515844143066,214.45699435002754,HAR
6,263.815685731926,266.34476630711777,HAR
7,284.9750179998168,288.83760293882546,HAR
8,293.08243323999,297.9622397203732,HAR
9,296.4398866083541,303.6546218875473,HAR
10,288.8713254901961,288.0535615968415,VER
11,105.48422249835056,102.7652003092057,VER
12,220.47663188475536,224.9780567541731,HAR
13,270.3466673497014,271.8031469743724,HAR
14,275.24053924313375,260.6836058694256,VER
15,134.9038486317045,132.00545397404017,VER
16,214.4778552869872,210.933813145072,VER
17,260.24212744401314,259.9252717890485,VER
18,263.9391697575667,253.0120905635139,VER
19,252.90727317480827,246.52189368711188,VER
20,153.76476745713072,138.65444171216618,VER
21,197.20416766917384,197.32151619960973,HAR
22,183.99356419419817,169.5666080406606,VER
23,198.79613249818115,188.54816053715575,VER
24,253.058552477193,253.3999805547317,HAR
25,273.7714304,,VER
