Minisector,VET,RAI,Fastest
0,279.6706956934336,279.96943692917915,RAI
1,247.77306091376224,237.3685890880026,VET
2,115.52830572031478,116.10882243382306,RAI
3,188.71971629386198,193.09854381152147,RAI
4,184.45662260929674,180.425647554406,VET
5,211.87487998250157,217.34015440007988,RAI
6,278.0395533826194,281.8195577751095,RAI
7,295.6133606781784,299.599103790593,RAI
8,197.1575423892449,184.98431968929765,VET
9,130.65167576431094,128.1050277618891,VET
10,129.33973967400476,134.9677095979231,RAI
11,188.46699422567565,191.36019933188226,RAI
12,228.995156725092,224.2261421087629,VET
13,132.6959165199423,130.92729367675628,VET
14,161.21646555894876,154.11959827097056,VET
15,118.96343303743292,122.97780064438865,RAI
16,254.3361703889091,257.9246289180424,RAI
17,151.72317308959452,142.2183303261447,VET
18,196.1445417362642,205.11817497542674,RAI
19,137.5323671854081,132.31019758047768,VET
20,155.11659345973533,146.16439288053857,VET
21,124.80216050606974,127.53397380419733,RAI
22,139.5253438034067,145.7732438101742,RAI
23,217.31602605128208,216.44750138070668,VET
24,233.01373781560562,233.6035063094783,RAI
25,264.2166656,,VET
