Minisector,BOT,VER,Fastest
0,305.20818104280613,291.2610157992419,BOT
1,319.9743574745206,300.55955311075695,BOT
2,288.8529311547524,280.9680209962643,BOT
3,114.96432596379833,111.39138598706128,BOT
4,226.31442851607756,227.2526085193223,VER
5,274.825,265.91636966494576,BOT
6,226.21311012086238,206.76138644795103,BOT
7,167.2470763966651,164.4231963457875,BOT
8,202.4757597878165,201.29156021826086,BOT
9,220.12244199947762,216.84693371680083,BOT
10,115.14229539599239,113.30084996895864,BOT
11,228.8800478475381,229.12798535157947,VER
12,116.3751729082292,116.79929388118966,VER
13,223.702617459225,223.55174253900003,BOT
14,272.2925423897226,272.2538470490524,BOT
15,227.93538339704224,218.96821941684564,BOT
16,198.72293486180462,206.64030481314379,VER
17,254.69520097578567,250.59258129063141,BOT
18,209.12955991544368,197.2867660987919,BOT
19,184.18931580678682,189.88090269390068,VER
20,269.02284562963746,269.58928130586486,VER
21,294.5531954689212,294.5807937660639,VER
22,160.69227826172366,159.21703451006294,BOT
23,208.53103046663168,216.23466619510288,VER
24,272.98798712477515,273.7814935950305,VER
25,286.37916693333335,,BOT
