Minisector,OCO,BOT,Fastest
0,267.2840756929972,270.071541341498,BOT
1,292.2921826816528,301.40837649781076,BOT
2,305.9818872313725,320.57117624615387,BOT
3,315.04458540055026,331.8876963463741,BOT
4,320.9770450330734,339.55831329862434,BOT
5,323.5512500148148,341.7695436952381,BOT
6,216.9691166522567,200.85151759701864,OCO
7,102.5013552799817,102.70583590119865,BOT
8,187.20111524733045,180.90546223824174,OCO
9,256.8359749320574,267.5854931733741,BOT
10,286.18938269238095,297.75880007757576,BOT
11,156.76997629180954,147.33608142,OCO
12,96.19428503652028,93.52072391775,OCO
13,111.91427324056393,114.77578874303278,BOT
14,210.67470929554284,213.34124117867475,BOT
15,176.55642920699452,176.09112810270474,OCO
16,220.5308893756614,214.84178908610974,OCO
17,169.18784271526945,168.41840880646464,OCO
18,234.2594589922078,236.00922538832566,BOT
19,273.1361214531602,281.5077545972288,BOT
20,241.89024998809904,231.70202855355183,OCO
21,142.25778233922077,134.06276921636402,OCO
22,94.68532876272367,96.0085936074782,BOT
23,122.03143445744467,117.65502982666413,OCO
24,217.1268198780313,225.4960984043255,BOT
25,250.72000256,,OCO
