Minisector,PER,VET,Fastest
0,100.27035316906012,175.53353112380952,VET
1,120.76656966227941,232.51106626673118,VET
2,189.63491629439122,272.7928420308377,VET
3,142.5968046920508,295.3378468444444,VET
4,129.3909322830832,311.71856004848485,VET
5,215.85840634285714,310.0996654814136,VET
6,239.64725357313034,177.59749327918567,PER
7,129.5055727477456,150.45289729855074,VET
8,135.20892907415242,228.70738328041887,VET
9,197.18333333333334,273.4028506912514,VET
10,236.69810921785898,292.69999875555555,VET
11,254.97193283516484,305.64659073939396,VET
12,217.0630094664611,313.55451352380953,VET
13,226.0211111111111,316.8963946189444,VET
14,102.02368687766473,219.16482550580602,VET
15,148.5938923395445,82.30410912281927,PER
16,84.57417919123802,171.8100540197859,VET
17,130.10580974291622,246.31860906666668,VET
18,172.76270890666666,285.2774290666667,VET
19,184.64729308158084,303.59843121820234,VET
20,196.0135760044645,314.35322116586815,VET
21,208.15472328571428,275.8907108102564,VET
22,162.22218500082093,110.21058796532219,PER
23,81.04996175836962,153.26426437863918,VET
24,113.35046230030453,230.91833216,VET
25,,260.63021919413916,VET
26,,223.7331760225661,VET
27,,159.68967415652173,VET
28,,209.57818421960783,VET
29,,217.12097485112344,VET
30,,192.04436241568627,VET
31,,232.9074398593026,VET
32,,260.4321423238095,VET
33,,279.50824539008886,VET
34,,288.9093611774892,VET
35,,291.00176418461535,VET
36,,228.0238911288889,VET
37,,213.03666560000002,VET
