Minisector,ALB,OCO,Fastest
0,278.37427996414857,281.4089676927831,OCO
1,117.6009055241031,115.72424835681754,ALB
2,148.0856789245213,159.31139526990935,OCO
3,208.21037302002887,204.2737152306384,ALB
4,160.70454356708666,153.20907254168887,ALB
5,240.45994401966036,240.48535693931973,OCO
6,197.98026637878198,196.63284773197816,ALB
7,130.02248658634014,131.99747997032284,OCO
8,230.08595446810966,225.37866330281656,ALB
9,273.2941483915593,278.02387980682556,OCO
10,286.17920783058827,277.3697368421052,ALB
11,145.57560453825397,137.48889091829474,ALB
12,210.22902498097372,212.85081544347827,OCO
13,266.55987024149397,264.0328322293271,ALB
14,276.7906544101587,256.9868713581095,ALB
15,98.76290500634677,97.35781532502806,ALB
16,211.45346826589727,203.3837037037037,ALB
17,268.8665055777948,270.10520275719085,OCO
18,293.8652426179663,298.06599682928106,OCO
19,302.6094378936481,311.9156755050505,OCO
20,309.92109707332145,322.21490380307694,OCO
21,292.0154529357576,278.817545562328,ALB
22,146.62530543333327,146.5988177770301,ALB
23,232.4414185274921,235.39685189774437,OCO
24,274.38718791111114,282.4371528,OCO
25,286.76000256,,ALB
