Minisector,NOR,LEC,Fastest
0,285.37336053958876,292.17643759741173,LEC
1,296.2197883653184,304.6248637714286,LEC
2,301.1437603630476,312.6420571168337,LEC
3,295.8441432611241,313.7673808457143,LEC
4,203.11592877538462,196.99740750038995,NOR
5,225.47664005789622,222.93525425721342,NOR
6,270.12706903945576,269.6925313095187,NOR
7,269.36558773870536,262.53324543702786,NOR
8,202.01633612321604,196.47134916659004,NOR
9,148.71988647029778,140.94664784639951,NOR
10,183.783324032,181.90267282724386,NOR
11,263.78149303299904,261.928453430303,NOR
12,254.54569744969695,245.66397227127416,NOR
13,233.58602536019862,237.05257793722566,LEC
14,270.5549042707692,273.7669622277633,LEC
15,176.69246525746033,164.8497372552939,NOR
16,224.23617857697056,225.09814273241025,LEC
17,242.06728180102562,232.77893381516296,NOR
18,133.62784051263185,134.65365123544208,LEC
19,244.94368243501683,247.54269224824242,LEC
20,283.807190822924,285.08333730844447,LEC
21,251.02426859537414,229.52897689142856,NOR
22,144.98029314785492,143.1954772965168,NOR
23,218.07503671706726,220.05135573333334,LEC
24,269.58825350745,271.52872523937094,LEC
