Minisector,HAM,MAG,Fastest
0,297.72321401904765,314.8097686583235,MAG
1,251.70780921010507,253.5461676488,MAG
2,199.12569345777777,196.08981203610549,HAM
3,265.06529328194597,264.46833531333726,HAM
4,220.76233883900227,227.72543174658458,MAG
5,122.58227500161655,116.7455462058141,HAM
6,183.5998063327731,178.72648902813975,HAM
7,257.29501633721935,258.07094337589916,MAG
8,289.1011435818198,288.08582360883776,HAM
9,303.24749994666666,301.16191406011524,HAM
10,308.1679820165951,306.542221386524,HAM
11,235.51053011592083,224.81835573124133,HAM
12,148.14516385489677,144.98981852101898,HAM
13,257.07606660443054,257.182437068815,MAG
14,290.29705075670995,287.587905634632,HAM
15,299.4452380444444,288.25435146142087,HAM
16,293.0418019116883,286.6069302398505,HAM
17,257.52130736209523,262.24270855899834,MAG
18,188.58684762641255,184.15287579117137,HAM
19,189.05773612970918,184.85986901028988,HAM
20,182.9460814566042,186.94011808657842,MAG
21,251.10554744685712,248.81534513049348,HAM
22,131.56444247249615,125.18372365797902,HAM
23,200.70455595723124,206.70733289756996,MAG
24,276.54317944126984,275.8560731017704,HAM
