Minisector,GAS,LEC,Fastest
0,293.61216931216927,319.78916671999997,LEC
1,235.8629892392157,244.15795351919192,LEC
2,132.65431335672514,128.2138856906404,GAS
3,240.46600787142856,238.77727237171717,GAS
4,194.43385424000002,182.87930917806563,GAS
5,243.45101991485828,246.51595982857143,LEC
6,231.4369920717087,228.2123774117647,GAS
7,252.31182576253968,258.57035365755274,LEC
8,282.04204111798566,293.10977583589744,LEC
9,208.62522427387387,200.27235859743138,GAS
10,206.6789327685043,205.47721606349205,GAS
11,266.6093113469388,275.17605448723924,LEC
12,212.38337154253333,204.79051007962448,GAS
13,248.44220462795698,246.73359423333332,GAS
14,286.1431968957156,290.85302987598277,LEC
15,296.93466666666666,313.99307757500907,LEC
16,292.1500844794651,320.7894096888889,LEC
17,239.20584047142856,230.16400715626418,GAS
18,267.4291648111092,271.38074732873565,LEC
19,292.4788580740741,305.4101189259822,LEC
20,296.6612641096325,324.9722223111111,LEC
21,288.45817896296296,327.80158330946097,LEC
22,155.37330328273345,144.64931732776841,GAS
23,234.18598911196776,233.7228612095238,GAS
24,285.4237181128205,301.2411786592074,LEC
25,294.3833322666667,,GAS
