Minisector,VER,RUS,Fastest
0,315.7675185273201,315.7332797733489,VER
1,324.6840081095551,324.57822929246794,VER
2,325.72733147301585,318.4045915488926,VER
3,186.84377389053225,185.03576741793665,VER
4,129.43398521717438,124.36463378472499,VER
5,259.0778459114667,259.80381901553943,RUS
6,295.85445931419315,297.44294589941524,RUS
7,308.91167566836367,309.7681663260681,RUS
8,265.7204438120546,272.6630947202309,RUS
9,144.93224766918877,146.45782196465814,RUS
10,216.02655305290324,210.0493469393438,VER
11,213.7506426552381,211.19724262464223,VER
12,197.96601728201682,188.69561130607147,VER
13,263.9448283106543,260.9130563410589,VER
14,299.0955514748904,298.70025883838383,VER
15,313.94807006745333,309.7292527260119,VER
16,267.6416501585348,264.4014156140787,VER
17,209.89330511029908,208.14915036495785,VER
18,270.27676533684985,269.98570822031746,VER
19,300.5944388842481,302.08318829363657,RUS
20,314.1379194038689,315.0144444109668,RUS
21,296.8317476170159,297.90243133968255,RUS
22,211.14246951894415,203.24389291450737,VER
23,259.438048584127,261.7568332205932,RUS
24,296.43951649637256,295.9690794874921,VER
25,306.2812512,308.74687486666664,RUS
