Minisector,STR,SAI,Fastest
0,307.3824065777778,309.56520783999997,SAI
1,325.176077934156,325.7929809797013,SAI
2,336.87303915742297,336.31851350059657,STR
3,315.4351880888889,327.82754755555555,SAI
4,165.04364309634755,160.64274431958077,STR
5,204.0990950659612,205.81914510710132,SAI
6,234.46754834307066,233.56583330133333,STR
7,266.4909085090909,267.26963753342767,SAI
8,251.97490318975804,256.7953560231579,SAI
9,162.0084658381101,162.2908090534602,SAI
10,228.34489598536325,230.64698788155704,SAI
11,130.0533715384988,135.092797072203,SAI
12,225.56970339268483,230.11666666666667,SAI
13,187.15309250752688,188.9102514074058,SAI
14,221.10234306174073,214.9253624318323,STR
15,243.09937933913042,244.884787242564,SAI
16,257.3794845846606,262.6168414077146,SAI
17,283.974352576975,287.0359649122807,SAI
18,122.53481333263494,130.36438530889535,SAI
19,159.83683454074074,157.41260593958077,STR
20,144.77661310935628,143.20807904961617,STR
21,159.02479261120294,161.89501766745545,SAI
22,117.10385030592808,112.85796566720467,STR
23,227.07273252693332,224.40389539813594,STR
24,270.08890631341995,269.03168498286135,STR
25,283.3374976,283.55208319999997,SAI
