Minisector,MAG,RIC,Fastest
0,284.5655363773465,284.11583521737214,MAG
1,291.7161277,288.41541498311113,MAG
2,152.43607113605444,157.2134997095164,RIC
3,219.66217645072683,220.65885996576898,RIC
4,268.52892145080006,269.30313464701754,RIC
5,288.8859049698178,289.5833957131628,RIC
6,294.9368444708571,295.32501591425427,RIC
7,175.85743187611004,172.42968359281883,MAG
8,123.75632573839277,127.27442153463979,RIC
9,243.42691677482506,245.55079336227968,RIC
10,282.00435644342855,282.17855804444446,RIC
11,288.8141398785185,293.56580823703706,RIC
12,142.4435039629022,139.9530171346531,MAG
13,187.34170235511735,187.1789307998753,MAG
14,252.45327572948423,254.7122013637385,RIC
15,202.96906953064934,197.52582928699627,MAG
16,210.59519581644875,222.790763847706,RIC
17,205.5208269231608,201.6929205294686,MAG
18,241.79410846559506,239.05005651538582,MAG
19,272.2316890378667,275.6429711392799,RIC
20,290.3929126142857,290.98267353777777,RIC
21,261.38349411293484,251.77719577733032,MAG
22,220.83986323354242,215.91960724768953,MAG
23,191.65850258288938,196.11147369227083,RIC
24,256.4354764666431,258.6934570047224,RIC
25,274.76999936,,MAG
