Minisector,RIC,VET,Fastest
0,301.6426268801308,302.76145128425827,VET
1,244.2380528,240.2282818176661,RIC
2,195.37325504660197,196.82873665608466,VET
3,267.3120159266314,270.6230989399171,VET
4,222.9192331863351,228.91693529462367,VET
5,108.15227565542051,109.30267821996132,VET
6,168.19257870613492,177.73839906838992,VET
7,254.51629823054188,257.79508944761903,VET
8,284.9214976863304,283.95721778109504,RIC
9,297.42353685079365,297.4431666773333,VET
10,299.82814438489856,301.1355902222222,VET
11,225.30455756840917,236.82987737265745,VET
12,141.94823639311522,145.77727289108546,VET
13,254.92040386206895,257.6302934366567,VET
14,287.7714480932571,288.1881045389918,VET
15,293.80468733333333,296.1361112,VET
16,281.13974326153846,283.6721291860455,VET
17,243.53583094857143,247.71584520722496,VET
18,169.2362374992045,172.77896181781395,VET
19,181.9527734787225,179.61774923767612,RIC
20,169.40965681951218,176.99456894095238,VET
21,240.9476455040157,244.46480829517185,VET
22,119.07208089730203,124.06750515261388,VET
23,194.87766740413596,184.81319527790887,RIC
24,280.3433468952381,279.7505953641026,RIC
25,,295.3166677333333,VET
