Minisector,ALB,HUL,Fastest
0,274.54157443500543,287.39059572571426,HUL
1,224.73142248253967,218.46894556227238,ALB
2,113.81660531097151,113.83454561697941,HUL
3,195.04874457245853,201.47700705185184,HUL
4,176.73219806190477,166.62248038433864,ALB
5,222.06060606060603,229.97648858412697,HUL
6,271.7523812010025,293.3752631456996,HUL
7,287.57747495137846,315.998326,HUL
8,175.34709826190476,169.1259998866935,ALB
9,126.66145373116254,121.37036663212899,ALB
10,134.57151787048562,136.51504701562703,HUL
11,200.28914845421244,203.42888363228687,HUL
12,212.3000489781049,205.96952127732055,ALB
13,130.82509665547386,131.07872138927846,HUL
14,148.07864567854725,140.8734181677404,ALB
15,130.92293927847257,137.16522298696188,HUL
16,251.5471654893424,270.3962497066667,HUL
17,137.6781339983017,128.2516954247619,ALB
18,205.76311802469135,209.00753031402706,HUL
19,130.81777448883417,124.4204921460603,ALB
20,151.80453059486365,143.46560495861314,ALB
21,126.53921503583909,125.85643471129235,ALB
22,155.34756684817927,155.2941704727885,ALB
23,218.94228301552195,218.6403637036707,ALB
24,237.6446428952381,239.53503418775512,HUL
