Minisector,SAI,TSU,Fastest
0,292.58690556341446,289.60136324059465,SAI
1,304.38941662400003,299.8269479168831,SAI
2,309.2961768451019,306.25231143492067,SAI
3,313.5431830892386,303.93821661335744,SAI
4,200.61832324246546,194.31238019420007,SAI
5,211.53151296653593,212.73783991625194,TSU
6,268.18401764,263.02856173066664,SAI
7,274.0803927754377,264.5041315840086,SAI
8,181.90301948064626,184.99590484038097,TSU
9,143.01535535350862,149.2892850988517,TSU
10,172.48664880326575,170.99978616071775,SAI
11,258.04304631516527,254.28150375963833,SAI
12,250.92784053333332,244.62498402390713,SAI
13,225.3344255770561,220.05576000463768,SAI
14,274.2382302780952,265.80902851849623,SAI
15,160.99471224532823,173.6805009740076,TSU
16,220.1038624993789,207.90474417985658,SAI
17,242.00979592420703,234.04477339286697,SAI
18,133.59472959996643,131.28905011588665,SAI
19,241.52479850733212,232.43747691903522,SAI
20,282.20850185148305,273.6068038360926,SAI
21,256.8791692610096,244.7092489588758,SAI
22,135.8993157897807,137.77945782226647,TSU
23,206.43243380173382,202.8180364487542,SAI
24,272.5644872960111,266.07839556023407,SAI
25,,281.5687488,TSU
