Minisector,PIA,PER,Fastest
0,258.52060871657943,262.4482090806734,PER
1,138.62242979744147,137.79127154127156,PIA
2,272.16297145609184,265.7259196943017,PIA
3,311.40926165376146,306.4120999832381,PIA
4,310.55629510715903,306.3172004598353,PIA
5,318.3803905797088,314.65152259482096,PIA
6,322.85011908266665,317.45418576980745,PIA
7,321.6579349206349,317.10282118888887,PIA
8,203.5160739438164,208.65333461133076,PER
9,202.25553631371764,208.01271009950736,PER
10,174.6606629620241,194.86278064088202,PER
11,182.50766470909556,184.54334948669108,PER
12,260.6530706647471,256.5613464876987,PIA
13,276.04229842672004,285.68676223887127,PER
14,286.21088623081295,286.30654711411097,PER
15,268.23739344641007,283.85641182365595,PER
16,180.57198101449754,189.55658883779336,PER
17,202.3738972854975,198.8871287969332,PIA
18,247.93221079056195,244.69663434084438,PIA
19,292.1169111111111,288.7153158148834,PIA
20,311.95848899226297,304.1355329575294,PIA
21,317.905088985089,310.7845384566154,PIA
22,313.4972946656275,308.29549602795794,PIA
23,241.0789393900498,261.44457994760506,PER
24,125.864287106814,126.82654312994093,PER
25,234.47000192,235.95999744,PER
