Minisector,NOR,GAS,Fastest
0,313.92660627422526,316.99981842025124,GAS
1,321.68721087564626,331.7627814496241,GAS
2,318.1418184117649,334.4479113114638,GAS
3,197.6235137335941,156.70144217428572,NOR
4,124.0266955036296,128.52263375997754,GAS
5,259.11311167916136,257.28000127722873,NOR
6,294.67396725606545,295.87104698676563,GAS
7,308.6297183759987,311.2458182560477,GAS
8,276.7976025562967,264.889866676261,NOR
9,143.5099651765273,142.19367348759823,NOR
10,214.37114095459367,201.87893181145017,NOR
11,211.0740432164933,197.9460357761482,NOR
12,192.77052205573605,179.5133158795732,NOR
13,262.19105681375066,265.44071727038613,GAS
14,298.74572475409656,304.52051734860805,GAS
15,310.1166917293233,326.0480437812245,GAS
16,265.95956299560635,247.85288594679574,NOR
17,210.98690218423607,192.83801608888888,NOR
18,268.6489710639032,265.56170000129146,NOR
19,300.7948894890994,302.4903710335238,GAS
20,315.1981097106173,320.14703925894736,GAS
21,301.32772813460315,300.10694820444445,NOR
22,204.9505934469342,191.72348163412073,NOR
23,261.3611364533745,260.9146942169792,NOR
24,295.49153647193816,297.5946336365522,GAS
25,307.94000128,311.0133333333333,GAS
