Minisector,PER,PIA,Fastest
0,293.5941900373804,281.41193589589466,PER
1,320.4683112022611,297.1509896133333,PER
2,311.8718549237605,292.7499294309957,PER
3,182.59613628459138,176.90728374419444,PER
4,216.25841728897083,219.51019223287057,PIA
5,204.78147891436078,205.5678058970116,PIA
6,181.3714856589932,181.0400448169312,PER
7,206.84952305848307,206.1911880304932,PER
8,255.35287096801133,257.1289386527825,PIA
9,264.41744397176853,268.6617707324376,PIA
10,161.80654702847923,166.26713017031562,PIA
11,232.44794425805813,234.1838531289252,PIA
12,116.61933462263552,115.445135585357,PER
13,224.3203811855501,214.16915215137752,PER
14,277.2604607808577,273.84994249799195,PER
15,292.15185830272316,289.2596264996658,PER
16,207.7528984319029,224.47527097045383,PIA
17,189.6102172186611,185.1123919390336,PER
18,267.45895531249334,265.2254212365764,PER
19,293.3716095240513,291.0747685751226,PER
20,306.09326024965975,302.96713083362914,PER
21,307.9430010011806,304.40080490203275,PER
22,261.7281491771428,272.5903614319081,PIA
23,116.85171662114486,115.50995621667083,PER
24,240.04650371914613,230.20898169510625,PER
25,274.65376150833544,264.9027790222222,PER
