Minisector,ANT,OCO,Fastest
0,299.143806699581,286.12246464199484,ANT
1,148.27124537975604,148.91951473511048,OCO
2,228.75538204111615,221.2688822283015,ANT
3,276.90279498512075,280.2222403743723,OCO
4,314.19315264366753,313.6368102485724,ANT
5,311.59545664758605,302.54128293189785,ANT
6,152.4855252171709,147.8812849966951,ANT
7,258.5632730552381,256.1674128449006,ANT
8,121.09343610604827,116.59004145347161,ANT
9,160.83529882848686,161.48044653567416,OCO
10,279.4953602441742,275.39160091815046,ANT
11,301.57970643483,301.9737791161905,OCO
12,226.5909419806349,217.12296874841172,ANT
13,168.58596372931052,168.26720388303306,ANT
14,277.0345455619048,280.9509016342857,OCO
15,313.82923883204626,314.0710205141139,OCO
16,327.5201386821256,329.82160253443527,OCO
17,336.4314541385621,337.9244809001146,OCO
18,338.9408729904762,341.434969011358,OCO
19,340.11747304450216,342.71598871534394,OCO
20,194.96255759856217,201.7725466112307,OCO
21,176.43580489537817,170.89600738643952,ANT
22,280.6817143970696,281.0037722361905,OCO
23,312.7387263216213,314.17908386754476,OCO
24,327.0092900281129,329.15764103887955,OCO
25,,331.01176470588234,OCO
