Minisector,ALO,RUS,Fastest
0,288.5577012143693,287.8369932214665,ALO
1,295.40590984515154,293.1511597339194,ALO
2,167.8545904572699,163.48729003803987,ALO
3,222.12136367337536,221.70419113771732,ALO
4,269.6858661250269,268.5893458680112,ALO
5,291.6986255193277,289.00896892026145,ALO
6,298.94498104295366,298.04765453605444,ALO
7,167.61151202959707,163.10405229714286,ALO
8,122.09607852953896,126.29149908396222,RUS
9,244.56293526240557,246.2071954225037,RUS
10,283.2255190869145,280.61389742406857,ALO
11,295.0639389272271,292.7569993386667,ALO
12,152.29904086325215,141.04757496593845,ALO
13,182.58132917281966,188.71361365679653,RUS
14,253.24691644193732,252.76577093437294,ALO
15,202.32952730784436,205.2280218744179,RUS
16,213.9652076591304,208.98189903417492,ALO
17,208.31047703975995,209.3381590669062,RUS
18,240.87326714933334,238.1106156487542,ALO
19,274.8131246243771,272.8876611511449,ALO
20,293.5096215520448,291.56971394431935,ALO
21,268.3234029123232,260.32318373777775,ALO
22,224.6340474009917,221.77256877005962,ALO
23,199.74457686245015,206.60795610389613,RUS
24,262.7120024464762,261.40893550667147,ALO
