Minisector,SAI,TSU,Fastest
0,295.1427814808768,280.49700291333335,SAI
1,319.68350222370856,297.04450847558536,SAI
2,311.9561180124224,291.16722414626264,SAI
3,182.52321266243746,172.3745845828793,SAI
4,219.09971126233768,214.46740631766514,SAI
5,207.27468899263738,198.2396535487148,SAI
6,181.5290384006173,176.3679472849457,SAI
7,209.307355575459,199.33856952962623,SAI
8,260.24458513846594,254.76518154328042,SAI
9,265.94569113756614,255.507252362234,SAI
10,166.42375336950664,162.83028459190925,SAI
11,234.60355406995205,238.94376294629816,TSU
12,119.98650291237519,109.2305953423203,SAI
13,223.98910262185356,224.91783185646352,TSU
14,277.24446430056,276.5675523265672,SAI
15,293.5008383669841,289.0311660608,SAI
16,219.52435010831036,195.48698844762913,SAI
17,188.31298268698413,186.59690476310973,SAI
18,265.14980911260994,266.7378144113834,TSU
19,290.9215344084656,290.4363815326272,SAI
20,299.80314982389507,300.97980762844446,TSU
21,300.44406635693406,300.1487687357576,SAI
22,282.6569635667136,249.87921712982745,SAI
23,115.7795946987663,115.95147122242368,TSU
24,234.7998277083184,242.01581222028074,TSU
