Minisector,SAI,NOR,Fastest
0,289.7887316785708,310.8927978002107,NOR
1,245.6184971634568,229.156822123087,SAI
2,130.11966502225917,125.85373560166941,SAI
3,238.46545921325702,231.09735853559238,SAI
4,188.53221871422443,193.08092483804552,NOR
5,251.58824452022836,241.6130878207792,SAI
6,240.16540428342026,226.3796831721495,SAI
7,251.7720232925836,252.46676853018064,NOR
8,280.5749485221978,278.23292228053333,SAI
9,205.53324418222172,213.4932762268398,NOR
10,200.092534887092,204.11161783726791,NOR
11,269.4866069265306,270.08640732060604,NOR
12,207.74006791222308,205.53113870929292,SAI
13,251.82408006876085,241.95174712960252,SAI
14,288.5587712853837,288.2119452908975,SAI
15,302.4702980888889,308.8303024272682,NOR
16,301.73343771555557,308.2419710261472,NOR
17,237.660145884329,222.17087150040152,SAI
18,267.4881232885197,265.0138565039456,SAI
19,293.8115804814815,297.37267568482923,NOR
20,304.9969787885714,316.96176240028825,NOR
21,301.72865522274174,315.41156680076193,NOR
22,157.18959309640633,143.08518922560313,SAI
23,230.97104592946127,236.57397758526648,NOR
24,280.72773634058626,291.04673432137565,NOR
