Minisector,ALO,TSU,Fastest
0,301.8591077687646,305.99691068552187,TSU
1,219.57569845040737,207.17595158260872,ALO
2,142.63908545370438,142.546815382986,ALO
3,221.50927533522335,214.6160006643194,ALO
4,164.7595637913364,164.25910324805366,ALO
5,182.4917316864539,178.93969410036942,ALO
6,253.37691611733334,255.43047956970318,TSU
7,276.9852796546482,281.4779966270166,TSU
8,285.3065295706278,288.9985416087273,TSU
9,260.67278842412696,262.66185291851855,TSU
10,241.3313495202497,246.62075856,TSU
11,239.88527460077228,235.6903989392147,ALO
12,214.881010778355,195.27620578222985,ALO
13,131.27767501205562,126.05672412230577,ALO
14,144.18444804196432,137.15807698201596,ALO
15,178.50301034736728,178.43734484824074,ALO
16,250.34560841467263,250.69606253268466,TSU
17,243.51480767157287,241.2086132505397,ALO
18,113.68006093410843,110.72434145088434,ALO
19,200.8170604825397,200.63051188591493,ALO
20,202.42325139483663,202.3942557058385,ALO
21,235.03706766875283,239.99691163014552,TSU
22,264.2243291286349,267.8619752122298,TSU
23,282.4294269636364,287.7762790868071,TSU
24,294.8403343898413,300.1124422526698,TSU
