Minisector,ALO,SAI,Fastest
0,273.1720196176532,274.28458615155984,SAI
1,233.65776018919178,228.3173509802036,ALO
2,119.85505748460132,115.87496584279553,ALO
3,190.7453597838497,190.28224360030646,ALO
4,185.2807028687442,173.43499664861713,ALO
5,216.03143283977792,215.18529524771054,ALO
6,271.4082646437665,270.1955381766947,ALO
7,286.78609023580026,286.99691645826584,SAI
8,189.4810245950227,180.30791457738886,ALO
9,135.1773368077034,129.44388453438282,ALO
10,138.52384680235707,135.27413779586803,ALO
11,190.68766228916616,192.4117579715819,SAI
12,232.0152379230768,221.52892547113987,ALO
13,138.4363656247907,129.28588933470746,ALO
14,163.47306792493723,158.31394140969448,ALO
15,122.58762241898927,119.11560851348479,ALO
16,250.48835715258022,251.12911715702862,SAI
17,149.5079763192505,145.1960081928482,ALO
18,195.41350143459172,199.41907770178025,SAI
19,142.72591313721566,129.18027432759632,ALO
20,151.8842945269321,150.30959123899083,ALO
21,129.48185085519475,125.16888813756256,ALO
22,144.8674131284707,142.78573759064867,ALO
23,223.94409284038602,216.9059974734106,ALO
24,236.49171718508626,231.2066560654147,ALO
