Minisector,NOR,HAD,Fastest
0,283.8767507972699,280.42188096628036,NOR
1,294.37377394885084,287.62189117254525,NOR
2,274.57380469427886,273.3648128051098,NOR
3,167.51834422243695,175.85185250524708,HAD
4,114.71280849166928,116.1198155366723,HAD
5,240.45610136861907,243.08815321356963,HAD
6,288.6861318389814,285.2991605042424,NOR
7,290.07063438863827,293.2631200965996,HAD
8,171.41017083266314,179.70111457668932,HAD
9,137.5890634965229,137.74437143710603,HAD
10,258.5399077208429,254.08287425343212,NOR
11,297.2038256185085,291.6971053810526,NOR
12,296.96220764485855,294.2361105312799,NOR
13,271.8143496602881,266.53237085371427,NOR
14,284.20331626741824,281.2275714285714,NOR
15,277.4395625141185,276.8730716633397,NOR
16,234.979074715766,249.17948717948718,HAD
17,224.81132135439844,218.43024652731185,NOR
18,279.94504986766293,272.8841682127396,NOR
19,297.59025738039213,297.0178156422257,NOR
20,298.63472893219716,298.00757575757575,NOR
21,228.19726376926047,232.94656505469388,HAD
22,234.96534720670476,237.19972789597796,HAD
23,135.74041575689716,134.3918266968591,NOR
24,209.5702900776947,197.90071253340315,NOR
25,261.7187488,258.09958442666664,NOR
