Minisector,HAM,RUS,Fastest
0,290.00550061783485,298.2225074952657,RUS
1,152.37437759465774,164.16274690398532,RUS
2,151.29453701536883,157.1810052797581,RUS
3,233.43448599767217,228.35152345991986,HAM
4,293.68703570761903,284.22683408618514,HAM
5,296.17538348028023,291.43174546204443,HAM
6,151.6730479180872,147.91269529267083,HAM
7,142.53549885267816,151.2400564457811,RUS
8,135.00670951485927,149.29112784126986,RUS
9,192.12275937385954,182.52237854276973,HAM
10,129.10714569120472,134.29853257347176,RUS
11,124.8043470788752,130.49561856181214,RUS
12,161.10454668799522,168.81248850101326,RUS
13,266.9059823152779,268.8411015613007,RUS
14,293.95423865872306,293.0373253337566,HAM
15,151.0218478688395,145.79520604186425,HAM
16,209.99981423537648,214.34372558181417,RUS
17,170.86829725270567,174.32411800862832,RUS
18,270.881470223467,271.91600041964483,RUS
19,297.40083873556404,295.2352596368254,HAM
20,310.44053090806244,306.53306934041643,HAM
21,318.1905285643739,313.44976865185185,HAM
22,322.6735417625397,317.4106923768595,HAM
23,325.3683489027063,319.2898597877551,HAM
24,322.7303376588831,319.98530612244895,HAM
