Minisector,HAM,PER,Fastest
0,308.1054884557983,311.07965694117644,PER
1,211.22965782905337,219.32751162546677,PER
2,131.70881612032957,126.06331534359435,HAM
3,219.10619518350376,209.99139155868892,HAM
4,262.30788734730163,261.4405848430427,HAM
5,287.7420220168034,287.2928467655182,HAM
6,301.4067540239776,303.8977309390481,PER
7,265.82107477027114,264.03137581286546,HAM
8,171.68239454238469,168.86572211895358,HAM
9,239.81185499063608,242.7240735401777,PER
10,273.4889388165079,275.22895116140774,PER
11,256.17519223498664,259.4176806316544,PER
12,206.18846300727344,204.90575178202897,HAM
13,121.21948811668932,117.93110423175236,HAM
14,125.87781773671365,126.44772866109953,PER
15,153.31381920444565,168.5403132334066,PER
16,125.48418250618198,122.59271978599261,HAM
17,230.05454060578987,224.26444995873015,HAM
18,172.24654585084247,172.36903678033508,PER
19,161.25800541251766,165.79435940515836,PER
20,241.51604694703383,242.829916925291,PER
21,272.9855437478059,274.52755842648526,PER
22,291.53450688291815,291.37594007257053,HAM
23,301.4016070120635,301.9790442048179,PER
24,306.20836043359304,306.8649934659048,PER
25,,309.43888924444445,PER
