Minisector,LEC,ALB,Fastest
0,282.89616201145134,274.54157443500543,LEC
1,225.0196896121905,224.73142248253967,LEC
2,112.96005787010789,114.19545857606106,ALB
3,203.4426747604396,197.7230671696443,LEC
4,175.22314881173043,176.73219806190477,ALB
5,226.6729352626087,222.06060606060603,LEC
6,280.91931316494805,271.7523812010025,LEC
7,296.3399141502645,287.57747495137846,LEC
8,170.58416674370372,175.34709826190476,ALB
9,124.69237088349608,126.66145373116254,ALB
10,135.82114998663783,134.57151787048562,LEC
11,197.80151183004097,201.99448863492066,ALB
12,213.2996434140007,210.93871760389578,LEC
13,130.56868998706926,130.82509665547386,ALB
14,146.69977601635665,143.86947892319205,LEC
15,128.803929305831,134.1443988657379,ALB
16,256.17859352,251.5471654893424,LEC
17,143.28660864860728,137.94279722911446,LEC
18,210.38191391648354,207.98477641025642,LEC
19,133.87238571154634,131.44488169967562,LEC
20,148.87303717065637,150.39655430533983,ALB
21,126.75294579820229,127.0096836952498,ALB
22,155.90821524424783,155.34756684817927,LEC
23,224.7355825756347,218.50459169490105,LEC
24,242.33055547936505,239.12687504000002,LEC
25,268.7875008,,LEC
