Minisector,PER,TSU,Fastest
0,293.11420752217686,290.5752452860618,PER
1,167.55845240482165,159.17404566192917,PER
2,173.6993114692289,174.3406272389571,TSU
3,256.1737949042424,253.25852703055153,PER
4,283.858379543319,286.47947929227513,TSU
5,253.8048004344653,249.28750195619898,PER
6,227.14548026358278,222.72050050209043,PER
7,150.48848436706658,148.52849957981243,PER
8,229.18417995844774,230.75457871116188,TSU
9,282.91363601454543,279.84189386323976,PER
10,301.6894500529005,298.1689325018182,PER
11,311.35728456605045,306.7632220046956,PER
12,316.0029959299048,310.13642174690057,PER
13,313.58037237131083,305.097005490068,PER
14,130.61270708692672,121.05137828114523,PER
15,119.41209502086492,116.84072216194743,PER
16,99.6603508282187,102.9659388201906,TSU
17,236.48231616725886,239.11862022335353,TSU
18,287.52976176483185,288.27696401142856,TSU
19,308.6746691238095,306.1474514651335,PER
20,319.5836435846465,316.0772910168441,PER
21,321.72036423553425,317.4171835379387,PER
22,120.40401668471884,119.9506574914231,PER
23,203.8623776899408,207.8244047167416,TSU
24,270.73345638726744,268.95753536765056,PER
25,285.7,,PER
