Minisector,HAM,ERI,Fastest
0,270.0809546353038,258.2372324917872,HAM
1,131.03203516716022,132.62161459697558,ERI
2,269.0602663238095,259.80153111292515,HAM
3,315.822451155923,298.66025661538464,HAM
4,315.87569453968257,296.2716665721905,HAM
5,327.7045467195022,301.7631667626667,HAM
6,332.8634385312803,306.41076391111113,HAM
7,331.60549246060606,308.22683332266666,HAM
8,194.86635674666667,207.8866210356498,ERI
9,199.4864913176824,197.44161475995378,HAM
10,184.1312258788367,194.7412424174708,ERI
11,164.32417767169267,158.65972304494392,HAM
12,256.1739233376344,246.7542077031961,HAM
13,282.9785016469542,280.3307098074074,HAM
14,281.4232708645807,278.0490634051676,HAM
15,275.17099728868465,281.26243541446206,ERI
16,189.47219182026862,186.47750316836735,HAM
17,195.82567469075897,193.45362211375954,HAM
18,243.1956937146861,238.32886439047618,HAM
19,292.4099228092728,284.7235619867863,HAM
20,314.01719165528215,303.49361869409523,HAM
21,321.6503106385093,309.36527777777775,HAM
22,320.96053303944495,308.8239583555556,HAM
23,259.1180169142857,271.62604839087305,ERI
24,115.60659998791603,112.14597284180284,HAM
25,231.7,223.83333262222223,HAM
