Minisector,RIC,PER,Fastest
0,308.4810949393139,311.1361691155077,PER
1,235.82407450451464,231.61163921579723,RIC
2,141.43425272962813,134.29714308705232,RIC
3,221.67552477613808,217.37926878710147,RIC
4,264.64584177847075,263.2795640607121,RIC
5,290.05992613773935,290.2388497019537,PER
6,304.6062499809524,304.44027797333337,RIC
7,284.2968918779193,283.15854940003624,RIC
8,181.23430053892636,173.24061069642713,RIC
9,242.89594234587972,241.5455655900873,RIC
10,274.71014990007166,275.59314844249684,PER
11,270.57588002785695,258.71126202798285,RIC
12,212.80300491410273,201.7104277700549,RIC
13,137.62875249207323,128.50338086941625,RIC
14,124.14195347129221,127.17333023424817,PER
15,172.27789535952675,167.54694608952667,RIC
16,128.79527401333056,128.2715175089108,RIC
17,233.6376704740427,231.19474570938985,RIC
18,191.75651818483848,180.92749367291373,RIC
19,171.6005646913898,171.04330066248986,RIC
20,249.09414800995373,250.34511191598853,PER
21,277.7044079369722,278.8450197340419,PER
22,293.5540325705394,296.4294271885017,PER
23,303.70852218004904,307.7808686079364,PER
24,308.40125870746397,312.9752778666667,PER
