Minisector,LEC,ERI,Fastest
0,280.7440142984127,274.7806723764706,LEC
1,304.6636917595504,302.3614578,LEC
2,316.0107993360544,316.05819372976237,ERI
3,322.7490384410257,323.2610119619048,ERI
4,327.79251700680277,326.8488417872525,LEC
5,330.3331037268308,329.2976191238095,LEC
6,211.97083454891774,207.27237265715686,LEC
7,107.4634579958188,105.19550485508,LEC
8,178.3464650987086,181.7252569979689,ERI
9,267.13897079215684,260.2715270518518,LEC
10,298.0777777777778,287.6624605663492,LEC
11,177.27514026372808,173.86962286843033,LEC
12,97.74829144150557,95.80273652692823,LEC
13,118.64011814988349,115.358943865885,LEC
14,224.95660400286042,212.7382653968254,LEC
15,183.40498475555555,173.20644116042416,LEC
16,224.3758319686137,207.28146692294374,LEC
17,172.48254499856483,168.19806310725832,LEC
18,241.67136522862702,227.10634900317459,LEC
19,286.24009093427605,274.37373669036606,LEC
20,255.40139075555555,259.7585653925926,ERI
21,148.38085928120765,147.99294573356994,LEC
22,97.42126403333658,95.17808105157806,LEC
23,123.95802440946929,120.27102816615111,LEC
24,232.39613146666665,217.71684717190595,LEC
25,,256.1777763555556,ERI
