Minisector,PIA,PER,Fastest
0,324.5711478774532,322.5801625997114,PIA
1,335.35640428072816,332.0064993443495,PIA
2,335.7236457617778,326.7301013788272,PIA
3,196.61253144724046,200.0737225139065,PER
4,140.18553836655272,132.21234073399518,PIA
5,267.9003567289559,268.0280887730403,PER
6,302.9843779924007,301.4834830095238,PIA
7,315.96630691723965,315.583749952,PIA
8,263.48992102352094,273.79656139876647,PER
9,144.5871651207869,148.2681133777513,PER
10,224.89002219577964,218.83712659224148,PIA
11,234.6798029399756,227.0396635909091,PIA
12,208.54984814861496,201.3558868904762,PIA
13,272.28121416932277,272.639667456,PER
14,309.01127801139904,308.0865196065055,PIA
15,321.03818993246756,320.2083053585965,PIA
16,274.38449429223107,274.46237236363635,PER
17,221.59260225837684,211.6585470987755,PIA
18,282.912743236223,278.047288447205,PIA
19,312.6957709157287,311.20459590588234,PIA
20,325.21008204035275,321.20798697142857,PIA
21,300.716084924041,304.6334975676494,PER
22,214.44373477136713,210.4651838074459,PIA
23,269.7366264180316,265.3659857072143,PIA
24,305.0069215588007,304.4198220251429,PIA
25,318.6625008,315.40714422857144,PIA
