Minisector,VER,STR,Fastest
0,298.63083349333334,315.5572717488212,STR
1,203.15196910074783,203.1123252225834,VER
2,144.99549803518207,138.2492422548382,VER
3,219.49193858839826,213.58059368123995,VER
4,160.9564983822306,156.34500313048574,VER
5,181.80372858509423,179.14286433641024,VER
6,251.00262405530864,250.85224899963833,VER
7,276.9206582810961,277.4753784491775,STR
8,285.0007986285714,284.6482552892692,VER
9,249.75643128888888,250.92219801480644,STR
10,244.22585399024774,242.57828240205365,VER
11,234.3926209382716,232.30881418023722,VER
12,205.52603683451954,193.59925087857778,VER
13,140.4182685631169,129.14544246320543,VER
14,145.50813281426167,132.72022381389763,VER
15,182.59563393054944,179.70011819282053,VER
16,251.25381513939192,258.06273709326223,STR
17,234.57911940458553,216.61880539507808,VER
18,117.57260983385285,113.05809908572324,VER
19,198.66425416966183,204.6185168866403,STR
20,194.3473861999829,192.4554838357069,VER
21,234.3564787116883,235.816354508538,STR
22,262.1437040458862,270.49643978397756,STR
23,281.23391830291945,293.5792205415758,STR
24,292.67084848,311.0448863709091,STR
