Minisector,PIA,OCO,Fastest
0,255.3130430167693,251.01984257015872,PIA
1,140.12331857822718,132.9040498714061,PIA
2,204.53212554149894,206.33884833928343,OCO
3,249.21795169581472,247.52053364786326,PIA
4,249.86677213333334,255.76672696829124,OCO
5,180.6058698037262,184.77507156885508,OCO
6,149.11971515560634,145.83740485090888,PIA
7,190.6697977447619,182.41601992541354,PIA
8,104.27230839363129,101.79166317184307,PIA
9,72.81734494027859,70.48602029981451,PIA
10,99.21908346686897,98.43840483188546,PIA
11,190.84586676584794,194.20653734159592,OCO
12,249.4444502584127,244.62389306096568,PIA
13,271.38461763662986,265.6521802261995,PIA
14,282.15311247329765,278.075556260202,PIA
15,116.09885726945542,105.95625358785877,PIA
16,154.7394850479587,165.32858383619046,OCO
17,195.02603336126984,186.3067985083598,PIA
18,200.14270440435237,202.88411790963124,OCO
19,213.73487738057145,221.07905245547667,OCO
20,141.47823814978779,138.21891976967223,PIA
21,114.42442424533444,117.83211740871985,OCO
22,97.97714051295762,97.15198740781258,PIA
23,198.09813879945577,198.40364847946128,OCO
24,257.8868352027788,247.54231603804195,PIA
25,,263.0,OCO
