Minisector,SAI,VAN,Fastest
0,317.7257647455782,294.1003607652174,SAI
1,155.76967094573644,155.1585739531888,SAI
2,160.10344959332494,152.382298332693,SAI
3,202.8489660837561,219.23029727422002,VAN
4,283.2494313606625,282.0891835221519,SAI
5,297.228976630303,285.49848365714286,SAI
6,145.99496702460945,144.55192298007412,SAI
7,137.2708785569224,138.43469790751314,VAN
8,161.82672261351695,151.0550436503411,SAI
9,154.31882848006708,172.2932930522774,VAN
10,137.50740664091353,130.51831468698236,SAI
11,132.01188607820646,125.67263773763716,SAI
12,143.26581430909093,158.0775140394646,VAN
13,259.00272817330455,262.42954181681233,VAN
14,283.7108915701791,279.1323499991718,SAI
15,155.77239629863325,148.45034005144407,SAI
16,206.35337302237727,210.3038043957889,VAN
17,156.12439546447598,157.20572737034527,VAN
18,261.8988301805721,264.2875436303378,VAN
19,290.348032920911,286.9675210222424,SAI
20,301.6278829496897,297.7943179151515,SAI
21,311.5904760888889,306.1462080613129,SAI
22,316.6724999466667,311.82416656,SAI
23,321.14791233411086,314.5788094628571,SAI
24,316.70978281739133,312.57976203174604,SAI
25,,311.0,VAN
