Minisector,PIA,ALO,Fastest
0,305.39035352533335,305.01745774500745,PIA
1,321.1805661255204,320.3596708892022,PIA
2,290.84001701838963,301.47150471707226,ALO
3,111.2621080992109,108.82921064364564,PIA
4,219.34811034288703,224.0813498473651,ALO
5,270.1535462293996,268.79441169439156,PIA
6,205.09314897803637,203.52516949955856,PIA
7,163.39270052609493,166.26144750840135,ALO
8,211.1104079767325,211.1314473998186,ALO
9,219.52509877107585,224.23303895063034,ALO
10,109.9666515111723,119.45617629850506,ALO
11,232.2354625956965,231.1273360252015,PIA
12,119.3084827380995,118.33574502689754,PIA
13,224.46306793299146,217.13251073212402,PIA
14,273.4843733364933,273.0197513586147,PIA
15,204.7432841081905,217.38326257161197,ALO
16,196.4298168194176,200.51440036066998,ALO
17,255.09147340259742,254.6832688074386,PIA
18,209.24238415450787,210.88386170894373,ALO
19,181.15008487996838,194.5528278848818,ALO
20,265.9391269771126,261.31758430340767,PIA
21,293.7093925170259,286.2302587900657,PIA
22,164.31639384531556,173.63633561033942,ALO
23,212.2910007438602,200.04412852696106,PIA
24,276.2957410245963,268.1446583311709,PIA
25,293.65714285714284,281.70833333333337,PIA
