Minisector,RUS,MAG,Fastest
0,294.6940392514286,284.1216172393121,RUS
1,305.07986812517004,292.1536277,RUS
2,154.46796312756683,157.04172385550083,MAG
3,224.61853637460317,219.66217645072683,RUS
4,276.6893236395568,268.52892145080006,RUS
5,302.1687733233333,288.8859049698178,RUS
6,312.20750016,295.3609047902041,RUS
7,165.5120160264285,187.13913046484785,MAG
8,128.6776364755748,120.70564577522408,RUS
9,251.88154819428573,241.86379423216772,RUS
10,286.30313506807016,281.2540841657143,RUS
11,291.7055695490909,289.6524709301961,RUS
12,136.248397626582,148.079988503641,MAG
13,187.06701222902686,179.92920075698746,RUS
14,248.23417842205512,250.61932479595845,MAG
15,200.38855475776904,209.86820562761906,MAG
16,219.505587584,205.83171086614573,RUS
17,212.76541940868483,208.71700676140787,RUS
18,239.29303884425485,233.72649666709765,RUS
19,270.87749913680676,269.416228306163,RUS
20,286.89032191087347,289.2097651,MAG
21,261.89500196977286,268.7404267381449,MAG
22,229.6971326105176,227.60810631521954,RUS
23,201.81026612596378,187.65960223350046,RUS
24,258.66156635789474,251.8591272399764,RUS
25,,273.89333247999997,MAG
