Minisector,VET,HAM,Fastest
0,301.5726013252525,297.0517049212121,VET
1,323.3596716199392,321.8294579307463,VET
2,312.97687461333334,316.12229106285713,HAM
3,184.53722251194532,191.10547381464448,HAM
4,226.97323325856468,229.28145975873016,HAM
5,206.82774486720604,216.95663887605957,HAM
6,194.6950741106305,204.32872661872878,HAM
7,221.7273918855254,221.97887152473237,HAM
8,262.8571915434017,260.2286235097309,VET
9,262.04816219296066,264.33685604489574,HAM
10,181.50474624966085,183.1753519189505,HAM
11,246.60083389561905,245.3797233446129,VET
12,123.46613476132276,125.91451962296354,HAM
13,233.62747209114568,234.97160484884006,HAM
14,277.0984853887446,276.2791935519874,VET
15,289.9140365316137,284.64872826320345,VET
16,213.01719339118168,210.40732094827678,VET
17,192.9636144520447,194.93161486135813,HAM
18,275.07233665346314,273.1105896465737,VET
19,299.2610417066667,296.14500020571427,VET
20,311.7274438736842,307.86547626666663,VET
21,312.99073967792754,308.1858332647619,VET
22,268.124455591342,244.70228804688642,VET
23,119.78190631153855,127.18411383126846,HAM
24,246.3956981218222,252.54966773259753,HAM
