Minisector,GRO,HAM,Fastest
0,276.2545339834448,281.21194968426755,HAM
1,243.07196735454892,237.0558426376534,GRO
2,266.06566453916844,264.00688666929295,GRO
3,281.0531010521097,283.1936427216981,HAM
4,121.12929596963014,132.6794031506287,HAM
5,203.85664068649677,206.072412234996,HAM
6,265.04046899870303,265.7150377784461,HAM
7,286.6523639996769,289.15241663813663,HAM
8,297.37340362420707,299.7448007219108,HAM
9,302.29536304520684,304.6748660182217,HAM
10,287.5798624,286.07407455720386,GRO
11,96.96209953602354,101.58043251648996,HAM
12,215.32466358075345,218.77512341542462,HAM
13,264.6047882830504,269.7844590451616,HAM
14,267.5370378074074,274.75712081699885,HAM
15,130.53604761078105,136.13089643932256,HAM
16,200.1119827668725,201.33706192590788,HAM
17,250.65257007428073,253.75392588421255,HAM
18,252.92724672871503,258.48633428365355,HAM
19,240.32559505703298,240.16510693929712,GRO
20,151.30457100691535,158.601168165805,HAM
21,181.86719614410833,189.862995828394,HAM
22,171.47812014158643,169.0950639327266,GRO
23,189.54643130925822,186.80947586256363,GRO
24,247.25236123523078,247.5238466430382,HAM
25,,272.5833344,HAM
