Minisector,PER,STR,Fastest
0,281.8640350315789,302.6732308126154,STR
1,157.51691449862537,151.93480865320893,PER
2,175.273571884088,168.48455955096654,PER
3,245.09765668688644,240.8798325418549,PER
4,277.3854341277702,282.7375921138278,STR
5,246.50199065671393,229.64785014386146,PER
6,227.74385166261808,203.16174998488768,PER
7,160.12923715152075,151.3650091097302,PER
8,230.06793618751897,223.1993387620796,PER
9,277.3574397658874,280.39084271696186,STR
10,296.0202167716384,302.6378186593464,STR
11,306.16257517233083,321.37485265112304,STR
12,309.72676767030305,332.13925519072455,STR
13,307.1784431109788,327.2424150493214,STR
14,126.3119024425292,131.5335331119714,STR
15,112.54846789329156,119.50451838552601,STR
16,98.79810827495146,92.96593403265365,PER
17,235.58210230095236,227.85715379059718,PER
18,282.2592963398818,285.2757125483296,STR
19,302.4924060642517,316.39218680666664,STR
20,314.0126625102222,334.056326378273,STR
21,317.43272323428573,338.0265062617284,STR
22,122.28203178904718,118.20537596536559,PER
23,205.1069928638133,192.1387602682657,PER
24,262.1040353253594,268.8759791168831,STR
25,,288.9857133714286,STR
